#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   542   0.260317E+04  -0.849810E+01   0.321194E-05  -0.849810E+01   0.721035E+01   0.145608E-06   0.321194E-05   0.145608E-06   0.171133E-07
   543   0.260180E+04  -0.721914E+01   0.322398E-05  -0.721914E+01   0.729738E+01   0.129978E-06   0.322398E-05   0.129978E-06   0.170669E-07
   544   0.260021E+04  -0.594890E+01   0.323705E-05  -0.594890E+01   0.738974E+01   0.114380E-06   0.323705E-05   0.114380E-06   0.170206E-07
   545   0.259840E+04  -0.468805E+01   0.325111E-05  -0.468805E+01   0.748739E+01   0.988125E-07   0.325111E-05   0.988125E-07   0.169745E-07
   546   0.259636E+04  -0.343729E+01   0.326615E-05  -0.343729E+01   0.759035E+01   0.832712E-07   0.326615E-05   0.832712E-07   0.169287E-07
   547   0.259409E+04  -0.219733E+01   0.328216E-05  -0.219733E+01   0.769858E+01   0.677533E-07   0.328216E-05   0.677533E-07   0.168830E-07
   548   0.259160E+04  -0.968836E+00   0.329912E-05  -0.968836E+00   0.781202E+01   0.522555E-07   0.329912E-05   0.522555E-07   0.168375E-07
   549   0.258889E+04   0.247467E+00   0.331701E-05   0.247467E+00   0.793080E+01   0.367748E-07   0.331701E-05   0.367748E-07   0.167921E-07
   550   0.258595E+04   0.145090E+01   0.333581E-05   0.145090E+01   0.805471E+01   0.213079E-07   0.333581E-05   0.213079E-07   0.167470E-07
   551   0.258281E+04   0.264073E+01   0.335550E-05   0.264073E+01   0.818389E+01   0.585268E-08   0.335550E-05   0.585268E-08   0.167020E-07
   552   0.257944E+04   0.381626E+01   0.337608E-05   0.381626E+01   0.831820E+01  -0.958963E-08   0.337608E-05  -0.958963E-08   0.166573E-07
   553   0.257587E+04   0.497675E+01   0.339753E-05   0.497675E+01   0.845763E+01  -0.250168E-07   0.339753E-05  -0.250168E-07   0.166127E-07
   554   0.257209E+04   0.612151E+01   0.341985E-05   0.612151E+01   0.860219E+01  -0.404266E-07   0.341985E-05  -0.404266E-07   0.165682E-07
   555   0.256811E+04   0.724980E+01   0.344301E-05   0.724980E+01   0.875180E+01  -0.558169E-07   0.344301E-05  -0.558169E-07   0.165240E-07
   556   0.256392E+04   0.836090E+01   0.346702E-05   0.836090E+01   0.890646E+01  -0.711853E-07   0.346702E-05  -0.711853E-07   0.164799E-07
   557   0.255954E+04   0.945418E+01   0.349186E-05   0.945418E+01   0.906610E+01  -0.865299E-07   0.349186E-05  -0.865299E-07   0.164361E-07
   558   0.255496E+04   0.105289E+02   0.351752E-05   0.105289E+02   0.923072E+01  -0.101848E-06   0.351752E-05  -0.101848E-06   0.163924E-07
   559   0.255019E+04   0.115845E+02   0.354399E-05   0.115845E+02   0.940024E+01  -0.117138E-06   0.354399E-05  -0.117138E-06   0.163488E-07
   560   0.254523E+04   0.126203E+02   0.357126E-05   0.126203E+02   0.957466E+01  -0.132397E-06   0.357126E-05  -0.132397E-06   0.163055E-07
   561   0.254009E+04   0.136357E+02   0.359932E-05   0.136357E+02   0.975384E+01  -0.147624E-06   0.359932E-05  -0.147624E-06   0.162623E-07
   562   0.253475E+04   0.146302E+02   0.362817E-05   0.146302E+02   0.993785E+01  -0.162815E-06   0.362817E-05  -0.162815E-06   0.162193E-07
   563   0.252924E+04   0.156030E+02   0.365777E-05   0.156030E+02   0.101265E+02  -0.177970E-06   0.365777E-05  -0.177970E-06   0.161765E-07
   564   0.252356E+04   0.165536E+02   0.368814E-05   0.165536E+02   0.103199E+02  -0.193085E-06   0.368814E-05  -0.193085E-06   0.161338E-07
   565   0.251769E+04   0.174814E+02   0.371926E-05   0.174814E+02   0.105179E+02  -0.208158E-06   0.371926E-05  -0.208158E-06   0.160913E-07
   566   0.251165E+04   0.183860E+02   0.375111E-05   0.183860E+02   0.107204E+02  -0.223187E-06   0.375111E-05  -0.223187E-06   0.160490E-07
   567   0.250544E+04   0.192667E+02   0.378369E-05   0.192667E+02   0.109274E+02  -0.238170E-06   0.378369E-05  -0.238170E-06   0.160069E-07
   568   0.249907E+04   0.201230E+02   0.381699E-05   0.201230E+02   0.111388E+02  -0.253105E-06   0.381699E-05  -0.253105E-06   0.159649E-07
   569   0.249253E+04   0.209544E+02   0.385099E-05   0.209544E+02   0.113546E+02  -0.267990E-06   0.385099E-05  -0.267990E-06   0.159231E-07
   570   0.248583E+04   0.217604E+02   0.388569E-05   0.217604E+02   0.115746E+02  -0.282822E-06   0.388569E-05  -0.282822E-06   0.158814E-07
   571   0.247897E+04   0.225404E+02   0.392108E-05   0.225404E+02   0.117989E+02  -0.297598E-06   0.392108E-05  -0.297598E-06   0.158400E-07
   572   0.247197E+04   0.232941E+02   0.395714E-05   0.232941E+02   0.120273E+02  -0.312318E-06   0.395714E-05  -0.312318E-06   0.157987E-07
   573   0.246481E+04   0.240209E+02   0.399386E-05   0.240209E+02   0.122597E+02  -0.326979E-06   0.399386E-05  -0.326979E-06   0.157575E-07
   574   0.245751E+04   0.247205E+02   0.403124E-05   0.247205E+02   0.124961E+02  -0.341578E-06   0.403124E-05  -0.341578E-06   0.157165E-07
   575   0.245008E+04   0.253926E+02   0.406926E-05   0.253926E+02   0.127365E+02  -0.356113E-06   0.406926E-05  -0.356113E-06   0.156757E-07
   576   0.244251E+04   0.260366E+02   0.410792E-05   0.260366E+02   0.129806E+02  -0.370582E-06   0.410792E-05  -0.370582E-06   0.156351E-07
   577   0.243482E+04   0.266522E+02   0.414719E-05   0.266522E+02   0.132285E+02  -0.384983E-06   0.414719E-05  -0.384983E-06   0.155946E-07
   578   0.242701E+04   0.272389E+02   0.418708E-05   0.272389E+02   0.134800E+02  -0.399314E-06   0.418708E-05  -0.399314E-06   0.155543E-07
   579   0.241907E+04   0.277965E+02   0.422757E-05   0.277965E+02   0.137352E+02  -0.413572E-06   0.422757E-05  -0.413572E-06   0.155141E-07
   580   0.241103E+04   0.283245E+02   0.426866E-05   0.283245E+02   0.139938E+02  -0.427755E-06   0.426866E-05  -0.427755E-06   0.154741E-07
   581   0.240288E+04   0.288224E+02   0.431032E-05   0.288224E+02   0.142558E+02  -0.441862E-06   0.431032E-05  -0.441862E-06   0.154342E-07
   582   0.239462E+04   0.292901E+02   0.435256E-05   0.292901E+02   0.145211E+02  -0.455889E-06   0.435256E-05  -0.455889E-06   0.153946E-07
   583   0.238627E+04   0.297270E+02   0.439535E-05   0.297270E+02   0.147895E+02  -0.469835E-06   0.439535E-05  -0.469835E-06   0.153550E-07
   584   0.237782E+04   0.301328E+02   0.443870E-05   0.301328E+02   0.150612E+02  -0.483697E-06   0.443870E-05  -0.483697E-06   0.153157E-07
   585   0.236929E+04   0.305072E+02   0.448258E-05   0.305072E+02   0.153357E+02  -0.497473E-06   0.448258E-05  -0.497473E-06   0.152765E-07
   586   0.236066E+04   0.308498E+02   0.452699E-05   0.308498E+02   0.156132E+02  -0.511161E-06   0.452699E-05  -0.511161E-06   0.152374E-07
   587   0.235195E+04   0.311604E+02   0.457192E-05   0.311604E+02   0.158936E+02  -0.524759E-06   0.457192E-05  -0.524759E-06   0.151985E-07
   588   0.234318E+04   0.314388E+02   0.461736E-05   0.314388E+02   0.161766E+02  -0.538265E-06   0.461736E-05  -0.538265E-06   0.151597E-07
   589   0.233433E+04   0.316848E+02   0.466330E-05   0.316848E+02   0.164622E+02  -0.551676E-06   0.466330E-05  -0.551676E-06   0.151211E-07
   590   0.232541E+04   0.318980E+02   0.470972E-05   0.318980E+02   0.167504E+02  -0.564990E-06   0.470972E-05  -0.564990E-06   0.150827E-07
   591   0.231644E+04   0.320783E+02   0.475662E-05   0.320783E+02   0.170409E+02  -0.578205E-06   0.475662E-05  -0.578205E-06   0.150444E-07
   592   0.230741E+04   0.322253E+02   0.480399E-05   0.322253E+02   0.173337E+02  -0.591319E-06   0.480399E-05  -0.591319E-06   0.150063E-07
   593   0.229832E+04   0.323390E+02   0.485181E-05   0.323390E+02   0.176287E+02  -0.604329E-06   0.485181E-05  -0.604329E-06   0.149683E-07
   594   0.228919E+04   0.324191E+02   0.490008E-05   0.324191E+02   0.179257E+02  -0.617233E-06   0.490008E-05  -0.617233E-06   0.149304E-07
   595   0.228001E+04   0.324656E+02   0.494878E-05   0.324656E+02   0.182247E+02  -0.630030E-06   0.494878E-05  -0.630030E-06   0.148927E-07
   596   0.227080E+04   0.324784E+02   0.499790E-05   0.324784E+02   0.185255E+02  -0.642716E-06   0.499790E-05  -0.642716E-06   0.148552E-07
   597   0.226155E+04   0.324571E+02   0.504744E-05   0.324571E+02   0.188281E+02  -0.655290E-06   0.504744E-05  -0.655290E-06   0.148178E-07
   598   0.225228E+04   0.324018E+02   0.509739E-05   0.324018E+02   0.191322E+02  -0.667750E-06   0.509739E-05  -0.667750E-06   0.147806E-07
   599   0.224298E+04   0.323122E+02   0.514772E-05   0.323122E+02   0.194379E+02  -0.680093E-06   0.514772E-05  -0.680093E-06   0.147435E-07
   600   0.223366E+04   0.321885E+02   0.519844E-05   0.321885E+02   0.197449E+02  -0.692317E-06   0.519844E-05  -0.692317E-06   0.147065E-07
   601   0.222433E+04   0.320304E+02   0.524953E-05   0.320304E+02   0.200531E+02  -0.704420E-06   0.524953E-05  -0.704420E-06   0.146697E-07
   602   0.221498E+04   0.318383E+02   0.530099E-05   0.318383E+02   0.203625E+02  -0.716401E-06   0.530099E-05  -0.716401E-06   0.146330E-07
   603   0.220563E+04   0.316118E+02   0.535279E-05   0.316118E+02   0.206729E+02  -0.728259E-06   0.535279E-05  -0.728259E-06   0.145965E-07
   604   0.219628E+04   0.313510E+02   0.540494E-05   0.313510E+02   0.209842E+02  -0.739995E-06   0.540494E-05  -0.739995E-06   0.145601E-07
   605   0.218693E+04   0.310561E+02   0.545741E-05   0.310561E+02   0.212963E+02  -0.751607E-06   0.545741E-05  -0.751607E-06   0.145239E-07
   606   0.217759E+04   0.307269E+02   0.551021E-05   0.307269E+02   0.216090E+02  -0.763094E-06   0.551021E-05  -0.763094E-06   0.144878E-07
   607   0.216827E+04   0.303636E+02   0.556331E-05   0.303636E+02   0.219223E+02  -0.774456E-06   0.556331E-05  -0.774456E-06   0.144518E-07
   608   0.215896E+04   0.299661E+02   0.561671E-05   0.299661E+02   0.222360E+02  -0.785693E-06   0.561671E-05  -0.785693E-06   0.144160E-07
   609   0.214968E+04   0.295347E+02   0.567040E-05   0.295347E+02   0.225500E+02  -0.796803E-06   0.567040E-05  -0.796803E-06   0.143803E-07
   610   0.214042E+04   0.290693E+02   0.572436E-05   0.290693E+02   0.228641E+02  -0.807786E-06   0.572436E-05  -0.807786E-06   0.143447E-07
   611   0.213121E+04   0.285701E+02   0.577860E-05   0.285701E+02   0.231781E+02  -0.818642E-06   0.577860E-05  -0.818642E-06   0.143093E-07
   612   0.212202E+04   0.280371E+02   0.583308E-05   0.280371E+02   0.234921E+02  -0.829369E-06   0.583308E-05  -0.829369E-06   0.142741E-07
   613   0.211287E+04   0.274705E+02   0.588782E-05   0.274705E+02   0.238059E+02  -0.839968E-06   0.588782E-05  -0.839968E-06   0.142389E-07
   614   0.210378E+04   0.268704E+02   0.594278E-05   0.268704E+02   0.241193E+02  -0.850437E-06   0.594278E-05  -0.850437E-06   0.142039E-07
   615   0.209472E+04   0.262371E+02   0.599798E-05   0.262371E+02   0.244321E+02  -0.860775E-06   0.599798E-05  -0.860775E-06   0.141691E-07
   616   0.208574E+04   0.255710E+02   0.605338E-05   0.255710E+02   0.247444E+02  -0.870983E-06   0.605338E-05  -0.870983E-06   0.141344E-07
   617   0.207681E+04   0.248722E+02   0.610899E-05   0.248722E+02   0.250560E+02  -0.881059E-06   0.610899E-05  -0.881059E-06   0.140998E-07
   618   0.206795E+04   0.241411E+02   0.616479E-05   0.241411E+02   0.253668E+02  -0.891003E-06   0.616479E-05  -0.891003E-06   0.140653E-07
   619   0.205916E+04   0.233779E+02   0.622077E-05   0.233779E+02   0.256766E+02  -0.900815E-06   0.622077E-05  -0.900815E-06   0.140310E-07
   620   0.205044E+04   0.225829E+02   0.627693E-05   0.225829E+02   0.259855E+02  -0.910492E-06   0.627693E-05  -0.910492E-06   0.139968E-07
   621   0.204181E+04   0.217564E+02   0.633324E-05   0.217564E+02   0.262932E+02  -0.920036E-06   0.633324E-05  -0.920036E-06   0.139627E-07
   622   0.203326E+04   0.208987E+02   0.638971E-05   0.208987E+02   0.265996E+02  -0.929445E-06   0.638971E-05  -0.929445E-06   0.139288E-07
   623   0.202480E+04   0.200100E+02   0.644631E-05   0.200100E+02   0.269045E+02  -0.938719E-06   0.644631E-05  -0.938719E-06   0.138950E-07
   624   0.201643E+04   0.190907E+02   0.650305E-05   0.190907E+02   0.272080E+02  -0.947856E-06   0.650305E-05  -0.947856E-06   0.138614E-07
   625   0.200815E+04   0.181410E+02   0.655990E-05   0.181410E+02   0.275098E+02  -0.956857E-06   0.655990E-05  -0.956857E-06   0.138278E-07
   626   0.199998E+04   0.171613E+02   0.661686E-05   0.171613E+02   0.278097E+02  -0.965720E-06   0.661686E-05  -0.965720E-06   0.137944E-07
   627   0.199191E+04   0.161518E+02   0.667391E-05   0.161518E+02   0.281077E+02  -0.974446E-06   0.667391E-05  -0.974446E-06   0.137611E-07
   628   0.198396E+04   0.151129E+02   0.673106E-05   0.151129E+02   0.284036E+02  -0.983033E-06   0.673106E-05  -0.983033E-06   0.137280E-07
   629   0.197611E+04   0.140451E+02   0.678828E-05   0.140451E+02   0.286974E+02  -0.991480E-06   0.678828E-05  -0.991480E-06   0.136950E-07
   630   0.196838E+04   0.129488E+02   0.684556E-05   0.129488E+02   0.289889E+02  -0.999788E-06   0.684556E-05  -0.999788E-06   0.136621E-07
   631   0.196076E+04   0.118244E+02   0.690290E-05   0.118244E+02   0.292780E+02  -0.100796E-05   0.690290E-05  -0.100796E-05   0.136293E-07
   632   0.195327E+04   0.106723E+02   0.696028E-05   0.106723E+02   0.295645E+02  -0.101598E-05   0.696028E-05  -0.101598E-05   0.135966E-07
   633   0.194591E+04   0.949283E+01   0.701770E-05   0.949283E+01   0.298484E+02  -0.102386E-05   0.701770E-05  -0.102386E-05   0.135641E-07
   634   0.193868E+04   0.828658E+01   0.707514E-05   0.828658E+01   0.301295E+02  -0.103161E-05   0.707514E-05  -0.103161E-05   0.135317E-07
   635   0.193158E+04   0.705401E+01   0.713259E-05   0.705401E+01   0.304077E+02  -0.103920E-05   0.713259E-05  -0.103920E-05   0.134994E-07
   636   0.192462E+04   0.579558E+01   0.719005E-05   0.579558E+01   0.306829E+02  -0.104666E-05   0.719005E-05  -0.104666E-05   0.134673E-07
   637   0.191780E+04   0.451180E+01   0.724750E-05   0.451180E+01   0.309551E+02  -0.105397E-05   0.724750E-05  -0.105397E-05   0.134353E-07
   638   0.191112E+04   0.320320E+01   0.730492E-05   0.320320E+01   0.312240E+02  -0.106113E-05   0.730492E-05  -0.106113E-05   0.134034E-07
   639   0.190460E+04   0.187025E+01   0.736232E-05   0.187025E+01   0.314896E+02  -0.106815E-05   0.736232E-05  -0.106815E-05   0.133716E-07
   640   0.189822E+04   0.513466E+00   0.741968E-05   0.513466E+00   0.317518E+02  -0.107503E-05   0.741968E-05  -0.107503E-05   0.133399E-07
   641   0.189199E+04  -0.866629E+00   0.747699E-05  -0.866629E+00   0.320104E+02  -0.108175E-05   0.747699E-05  -0.108175E-05   0.133084E-07
   642   0.188592E+04  -0.226946E+01   0.753423E-05  -0.226946E+01   0.322653E+02  -0.108833E-05   0.753423E-05  -0.108833E-05   0.132769E-07
   643   0.188001E+04  -0.369443E+01   0.759140E-05  -0.369443E+01   0.325165E+02  -0.109476E-05   0.759140E-05  -0.109476E-05   0.132456E-07
   644   0.187426E+04  -0.514094E+01   0.764850E-05  -0.514094E+01   0.327639E+02  -0.110104E-05   0.764850E-05  -0.110104E-05   0.132144E-07
   645   0.186867E+04  -0.660841E+01   0.770549E-05  -0.660841E+01   0.330072E+02  -0.110717E-05   0.770549E-05  -0.110717E-05   0.131834E-07
   646   0.186326E+04  -0.809625E+01   0.776239E-05  -0.809625E+01   0.332463E+02  -0.111315E-05   0.776239E-05  -0.111315E-05   0.131524E-07
   647   0.185801E+04  -0.960379E+01   0.781917E-05  -0.960379E+01   0.334813E+02  -0.111898E-05   0.781917E-05  -0.111898E-05   0.131216E-07
   648   0.185293E+04  -0.111306E+02   0.787582E-05  -0.111306E+02   0.337119E+02  -0.112466E-05   0.787582E-05  -0.112466E-05   0.130908E-07
   649   0.184802E+04  -0.126758E+02   0.793234E-05  -0.126758E+02   0.339381E+02  -0.113019E-05   0.793234E-05  -0.113019E-05   0.130602E-07
   650   0.184329E+04  -0.142389E+02   0.798871E-05  -0.142389E+02   0.341597E+02  -0.113556E-05   0.798871E-05  -0.113556E-05   0.130297E-07
   651   0.183874E+04  -0.158192E+02   0.804493E-05  -0.158192E+02   0.343769E+02  -0.114078E-05   0.804493E-05  -0.114078E-05   0.129993E-07
   652   0.183436E+04  -0.174159E+02   0.810098E-05  -0.174159E+02   0.345894E+02  -0.114585E-05   0.810098E-05  -0.114585E-05   0.129691E-07
   653   0.183017E+04  -0.190286E+02   0.815686E-05  -0.190286E+02   0.347972E+02  -0.115076E-05   0.815686E-05  -0.115076E-05   0.129389E-07
   654   0.182617E+04  -0.206565E+02   0.821255E-05  -0.206565E+02   0.350003E+02  -0.115552E-05   0.821255E-05  -0.115552E-05   0.129089E-07
   655   0.182236E+04  -0.222989E+02   0.826806E-05  -0.222989E+02   0.351985E+02  -0.116013E-05   0.826806E-05  -0.116013E-05   0.128789E-07
   656   0.181873E+04  -0.239551E+02   0.832336E-05  -0.239551E+02   0.353919E+02  -0.116459E-05   0.832336E-05  -0.116459E-05   0.128491E-07
   657   0.181529E+04  -0.256245E+02   0.837846E-05  -0.256245E+02   0.355803E+02  -0.116890E-05   0.837846E-05  -0.116890E-05   0.128194E-07
   658   0.181204E+04  -0.273063E+02   0.843335E-05  -0.273063E+02   0.357636E+02  -0.117306E-05   0.843335E-05  -0.117306E-05   0.127898E-07
   659   0.180899E+04  -0.289998E+02   0.848801E-05  -0.289998E+02   0.359417E+02  -0.117706E-05   0.848801E-05  -0.117706E-05   0.127603E-07
   660   0.180613E+04  -0.307042E+02   0.854243E-05  -0.307042E+02   0.361147E+02  -0.118092E-05   0.854243E-05  -0.118092E-05   0.127309E-07
   661   0.180346E+04  -0.324190E+02   0.859662E-05  -0.324190E+02   0.362823E+02  -0.118463E-05   0.859662E-05  -0.118463E-05   0.127016E-07
   662   0.180099E+04  -0.341433E+02   0.865056E-05  -0.341433E+02   0.364445E+02  -0.118818E-05   0.865056E-05  -0.118818E-05   0.126725E-07
   663   0.179872E+04  -0.358764E+02   0.870424E-05  -0.358764E+02   0.366012E+02  -0.119159E-05   0.870424E-05  -0.119159E-05   0.126434E-07
   664   0.179664E+04  -0.376175E+02   0.875765E-05  -0.376175E+02   0.367524E+02  -0.119485E-05   0.875765E-05  -0.119485E-05   0.126145E-07
   665   0.179477E+04  -0.393659E+02   0.881079E-05  -0.393659E+02   0.368980E+02  -0.119796E-05   0.881079E-05  -0.119796E-05   0.125856E-07
   666   0.179309E+04  -0.411210E+02   0.886364E-05  -0.411210E+02   0.370380E+02  -0.120093E-05   0.886364E-05  -0.120093E-05   0.125569E-07
   667   0.179161E+04  -0.428819E+02   0.891621E-05  -0.428819E+02   0.371723E+02  -0.120375E-05   0.891621E-05  -0.120375E-05   0.125282E-07
   668   0.179034E+04  -0.446478E+02   0.896847E-05  -0.446478E+02   0.373008E+02  -0.120642E-05   0.896847E-05  -0.120642E-05   0.124997E-07
   669   0.178926E+04  -0.464181E+02   0.902042E-05  -0.464181E+02   0.374235E+02  -0.120894E-05   0.902042E-05  -0.120894E-05   0.124713E-07
   670   0.178839E+04  -0.481920E+02   0.907206E-05  -0.481920E+02   0.375403E+02  -0.121132E-05   0.907206E-05  -0.121132E-05   0.124430E-07
   671   0.178772E+04  -0.499687E+02   0.912338E-05  -0.499687E+02   0.376513E+02  -0.121355E-05   0.912338E-05  -0.121355E-05   0.124148E-07
   672   0.178725E+04  -0.517475E+02   0.917436E-05  -0.517475E+02   0.377563E+02  -0.121564E-05   0.917436E-05  -0.121564E-05   0.123866E-07
   673   0.178698E+04  -0.535276E+02   0.922499E-05  -0.535276E+02   0.378553E+02  -0.121759E-05   0.922499E-05  -0.121759E-05   0.123586E-07
   674   0.178691E+04  -0.553084E+02   0.927528E-05  -0.553084E+02   0.379484E+02  -0.121938E-05   0.927528E-05  -0.121938E-05   0.123307E-07
   675   0.178705E+04  -0.570890E+02   0.932521E-05  -0.570890E+02   0.380353E+02  -0.122104E-05   0.932521E-05  -0.122104E-05   0.123029E-07
   676   0.178739E+04  -0.588686E+02   0.937477E-05  -0.588686E+02   0.381161E+02  -0.122255E-05   0.937477E-05  -0.122255E-05   0.122752E-07
   677   0.178793E+04  -0.606465E+02   0.942395E-05  -0.606465E+02   0.381909E+02  -0.122392E-05   0.942395E-05  -0.122392E-05   0.122476E-07
   678   0.178867E+04  -0.624219E+02   0.947275E-05  -0.624219E+02   0.382594E+02  -0.122514E-05   0.947275E-05  -0.122514E-05   0.122201E-07
   679   0.178961E+04  -0.641939E+02   0.952116E-05  -0.641939E+02   0.383216E+02  -0.122623E-05   0.952116E-05  -0.122623E-05   0.121927E-07
   680   0.179075E+04  -0.659618E+02   0.956917E-05  -0.659618E+02   0.383777E+02  -0.122717E-05   0.956917E-05  -0.122717E-05   0.121654E-07
   681   0.179209E+04  -0.677247E+02   0.961677E-05  -0.677247E+02   0.384273E+02  -0.122797E-05   0.961677E-05  -0.122797E-05   0.121382E-07
   682   0.179361E+04  -0.694818E+02   0.966395E-05  -0.694818E+02   0.384706E+02  -0.122862E-05   0.966395E-05  -0.122862E-05   0.121111E-07
   683   0.179534E+04  -0.712324E+02   0.971070E-05  -0.712324E+02   0.385075E+02  -0.122914E-05   0.971070E-05  -0.122914E-05   0.120841E-07
   684   0.179727E+04  -0.729757E+02   0.975702E-05  -0.729757E+02   0.385380E+02  -0.122952E-05   0.975702E-05  -0.122952E-05   0.120571E-07
   685   0.179939E+04  -0.747111E+02   0.980289E-05  -0.747111E+02   0.385621E+02  -0.122975E-05   0.980289E-05  -0.122975E-05   0.120303E-07
   686   0.180169E+04  -0.764375E+02   0.984831E-05  -0.764375E+02   0.385799E+02  -0.122985E-05   0.984831E-05  -0.122985E-05   0.120036E-07
   687   0.180420E+04  -0.781549E+02   0.989328E-05  -0.781549E+02   0.385914E+02  -0.122981E-05   0.989328E-05  -0.122981E-05   0.119770E-07
   688   0.180689E+04  -0.798626E+02   0.993777E-05  -0.798626E+02   0.385966E+02  -0.122963E-05   0.993777E-05  -0.122963E-05   0.119504E-07
   689   0.180978E+04  -0.815592E+02   0.998179E-05  -0.815592E+02   0.385955E+02  -0.122931E-05   0.998179E-05  -0.122931E-05   0.119240E-07
   690   0.181285E+04  -0.832440E+02   0.100253E-04  -0.832440E+02   0.385882E+02  -0.122885E-05   0.100253E-04  -0.122885E-05   0.118977E-07
   691   0.181611E+04  -0.849168E+02   0.100684E-04  -0.849168E+02   0.385746E+02  -0.122825E-05   0.100684E-04  -0.122825E-05   0.118714E-07
   692   0.181955E+04  -0.865770E+02   0.101109E-04  -0.865770E+02   0.385548E+02  -0.122752E-05   0.101109E-04  -0.122752E-05   0.118453E-07
   693   0.182318E+04  -0.882239E+02   0.101529E-04  -0.882239E+02   0.385288E+02  -0.122665E-05   0.101529E-04  -0.122665E-05   0.118192E-07
   694   0.182699E+04  -0.898559E+02   0.101944E-04  -0.898559E+02   0.384965E+02  -0.122565E-05   0.101944E-04  -0.122565E-05   0.117932E-07
   695   0.183099E+04  -0.914730E+02   0.102354E-04  -0.914730E+02   0.384581E+02  -0.122450E-05   0.102354E-04  -0.122450E-05   0.117673E-07
   696   0.183514E+04  -0.930738E+02   0.102759E-04  -0.930738E+02   0.384133E+02  -0.122323E-05   0.102759E-04  -0.122323E-05   0.117415E-07
   697   0.183949E+04  -0.946582E+02   0.103157E-04  -0.946582E+02   0.383624E+02  -0.122181E-05   0.103157E-04  -0.122181E-05   0.117158E-07
   698   0.184399E+04  -0.962248E+02   0.103551E-04  -0.962248E+02   0.383053E+02  -0.122027E-05   0.103551E-04  -0.122027E-05   0.116902E-07
   699   0.184868E+04  -0.977736E+02   0.103939E-04  -0.977736E+02   0.382420E+02  -0.121858E-05   0.103939E-04  -0.121858E-05   0.116647E-07
   700   0.185353E+04  -0.993038E+02   0.104321E-04  -0.993038E+02   0.381727E+02  -0.121677E-05   0.104321E-04  -0.121677E-05   0.116393E-07
   701   0.185854E+04  -0.100815E+03   0.104697E-04  -0.100815E+03   0.380972E+02  -0.121482E-05   0.104697E-04  -0.121482E-05   0.116139E-07
   702   0.186371E+04  -0.102306E+03   0.105068E-04  -0.102306E+03   0.380156E+02  -0.121274E-05   0.105068E-04  -0.121274E-05   0.115887E-07
   703   0.186904E+04  -0.103776E+03   0.105433E-04  -0.103776E+03   0.379282E+02  -0.121052E-05   0.105433E-04  -0.121052E-05   0.115635E-07
   704   0.187453E+04  -0.105225E+03   0.105792E-04  -0.105225E+03   0.378346E+02  -0.120818E-05   0.105792E-04  -0.120818E-05   0.115384E-07
   705   0.188017E+04  -0.106652E+03   0.106145E-04  -0.106652E+03   0.377352E+02  -0.120570E-05   0.106145E-04  -0.120570E-05   0.115135E-07
   706   0.188597E+04  -0.108056E+03   0.106492E-04  -0.108056E+03   0.376300E+02  -0.120309E-05   0.106492E-04  -0.120309E-05   0.114885E-07
   707   0.189191E+04  -0.109437E+03   0.106833E-04  -0.109437E+03   0.375190E+02  -0.120036E-05   0.106833E-04  -0.120036E-05   0.114637E-07
   708   0.189799E+04  -0.110794E+03   0.107168E-04  -0.110794E+03   0.374022E+02  -0.119750E-05   0.107168E-04  -0.119750E-05   0.114390E-07
   709   0.190422E+04  -0.112127E+03   0.107498E-04  -0.112127E+03   0.372798E+02  -0.119451E-05   0.107498E-04  -0.119451E-05   0.114144E-07
   710   0.191058E+04  -0.113435E+03   0.107821E-04  -0.113435E+03   0.371517E+02  -0.119140E-05   0.107821E-04  -0.119140E-05   0.113898E-07
   711   0.191708E+04  -0.114718E+03   0.108138E-04  -0.114718E+03   0.370181E+02  -0.118817E-05   0.108138E-04  -0.118817E-05   0.113653E-07
   712   0.192372E+04  -0.115974E+03   0.108449E-04  -0.115974E+03   0.368789E+02  -0.118481E-05   0.108449E-04  -0.118481E-05   0.113409E-07
   713   0.193048E+04  -0.117203E+03   0.108755E-04  -0.117203E+03   0.367343E+02  -0.118132E-05   0.108755E-04  -0.118132E-05   0.113166E-07
   714   0.193736E+04  -0.118405E+03   0.109054E-04  -0.118405E+03   0.365843E+02  -0.117772E-05   0.109054E-04  -0.117772E-05   0.112924E-07
   715   0.194437E+04  -0.119580E+03   0.109347E-04  -0.119580E+03   0.364290E+02  -0.117399E-05   0.109347E-04  -0.117399E-05   0.112682E-07
   716   0.195149E+04  -0.120726E+03   0.109634E-04  -0.120726E+03   0.362683E+02  -0.117015E-05   0.109634E-04  -0.117015E-05   0.112442E-07
   717   0.195873E+04  -0.121842E+03   0.109915E-04  -0.121842E+03   0.361024E+02  -0.116618E-05   0.109915E-04  -0.116618E-05   0.112202E-07
   718   0.196607E+04  -0.122929E+03   0.110189E-04  -0.122929E+03   0.359312E+02  -0.116210E-05   0.110189E-04  -0.116210E-05   0.111963E-07
   719   0.197352E+04  -0.123985E+03   0.110458E-04  -0.123985E+03   0.357550E+02  -0.115790E-05   0.110458E-04  -0.115790E-05   0.111725E-07
   720   0.198108E+04  -0.125012E+03   0.110720E-04  -0.125012E+03   0.355738E+02  -0.115358E-05   0.110720E-04  -0.115358E-05   0.111488E-07
