#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.274200E+00   0.695765E+06   0.692479E+06  -0.221117E+00  -0.225486E+00   0.129578E+05   0.692173E+06   0.695249E+06   0.692173E+06  -0.165353E-01   0.365999E+06   0.365962E+06   0.451943E-01
   0.279589E+00   0.674250E+06   0.670945E+06  -0.206097E+00  -0.210170E+00   0.121552E+05   0.670749E+06   0.673731E+06   0.670749E+06  -0.160235E-01   0.354671E+06   0.354634E+06   0.443065E-01
   0.284977E+00   0.653568E+06   0.650252E+06  -0.192290E+00  -0.196089E+00   0.114113E+05   0.650155E+06   0.653047E+06   0.650155E+06  -0.155315E-01   0.343782E+06   0.343745E+06   0.433166E-01
   0.290366E+00   0.634247E+06   0.630950E+06  -0.179742E+00  -0.183293E+00   0.107308E+05   0.630921E+06   0.633729E+06   0.630921E+06  -0.150720E-01   0.333612E+06   0.333576E+06   0.420082E-01
   0.295755E+00   0.616638E+06   0.613402E+06  -0.168442E+00  -0.171770E+00   0.101146E+05   0.613399E+06   0.616130E+06   0.613399E+06  -0.146534E-01   0.324347E+06   0.324312E+06   0.403145E-01
   0.301144E+00   0.600773E+06   0.597638E+06  -0.158290E+00  -0.161417E+00   0.955841E+04   0.597618E+06   0.600281E+06   0.597618E+06  -0.142765E-01   0.316004E+06   0.315969E+06   0.383011E-01
   0.306532E+00   0.586369E+06   0.583364E+06  -0.149114E+00  -0.152060E+00   0.905332E+04   0.583297E+06   0.585897E+06   0.583297E+06  -0.139344E-01   0.308431E+06   0.308398E+06   0.361220E-01
   0.311921E+00   0.572990E+06   0.570125E+06  -0.140724E+00  -0.143504E+00   0.858899E+04   0.569998E+06   0.572540E+06   0.569998E+06  -0.136166E-01   0.301399E+06   0.301367E+06   0.339645E-01
   0.317310E+00   0.560202E+06   0.557470E+06  -0.132953E+00  -0.135580E+00   0.815619E+04   0.557287E+06   0.559773E+06   0.557287E+06  -0.133130E-01   0.294678E+06   0.294648E+06   0.319965E-01
   0.322699E+00   0.547653E+06   0.545030E+06  -0.125673E+00  -0.128156E+00   0.774772E+04   0.544809E+06   0.547241E+06   0.544809E+06  -0.130149E-01   0.288081E+06   0.288051E+06   0.303284E-01
   0.328087E+00   0.535092E+06   0.532551E+06  -0.118792E+00  -0.121139E+00   0.735866E+04   0.532316E+06   0.534693E+06   0.532316E+06  -0.127165E-01   0.281475E+06   0.281446E+06   0.289950E-01
   0.333476E+00   0.522420E+06   0.519932E+06  -0.112261E+00  -0.114479E+00   0.698647E+04   0.519708E+06   0.522029E+06   0.519708E+06  -0.124153E-01   0.274808E+06   0.274780E+06   0.279606E-01
   0.338865E+00   0.509706E+06   0.507249E+06  -0.106073E+00  -0.108169E+00   0.663119E+04   0.507054E+06   0.509320E+06   0.507054E+06  -0.121130E-01   0.268117E+06   0.268090E+06   0.271407E-01
   0.344253E+00   0.497153E+06   0.494717E+06  -0.100247E+00  -0.102227E+00   0.629444E+04   0.494560E+06   0.496771E+06   0.494560E+06  -0.118145E-01   0.261511E+06   0.261484E+06   0.264306E-01
   0.349642E+00   0.485004E+06   0.482587E+06  -0.948054E-01  -0.966784E-01   0.597812E+04   0.482467E+06   0.484624E+06   0.482467E+06  -0.115256E-01   0.255117E+06   0.255090E+06   0.257332E-01
   0.355031E+00   0.473443E+06   0.471053E+06  -0.897573E-01  -0.915304E-01   0.568322E+04   0.470961E+06   0.473067E+06   0.470961E+06  -0.112508E-01   0.249033E+06   0.249006E+06   0.249792E-01
   0.360420E+00   0.462562E+06   0.460213E+06  -0.850920E-01  -0.867730E-01   0.540950E+04   0.460134E+06   0.462193E+06   0.460134E+06  -0.109921E-01   0.243309E+06   0.243282E+06   0.241376E-01
   0.365808E+00   0.452377E+06   0.450081E+06  -0.807851E-01  -0.823810E-01   0.515579E+04   0.450002E+06   0.452016E+06   0.450002E+06  -0.107501E-01   0.237951E+06   0.237926E+06   0.232154E-01
   0.371197E+00   0.442835E+06   0.440603E+06  -0.768025E-01  -0.783197E-01   0.492027E+04   0.440512E+06   0.442484E+06   0.440512E+06  -0.105234E-01   0.232933E+06   0.232908E+06   0.222483E-01
   0.376586E+00   0.433824E+06   0.431661E+06  -0.731027E-01  -0.745468E-01   0.470058E+04   0.431551E+06   0.433484E+06   0.431551E+06  -0.103093E-01   0.228195E+06   0.228171E+06   0.212857E-01
   0.381975E+00   0.425187E+06   0.423091E+06  -0.696409E-01  -0.710167E-01   0.449413E+04   0.422963E+06   0.424858E+06   0.422963E+06  -0.101041E-01   0.223654E+06   0.223630E+06   0.203757E-01
   0.387363E+00   0.416770E+06   0.414735E+06  -0.663771E-01  -0.676884E-01   0.429852E+04   0.414593E+06   0.416451E+06   0.414593E+06  -0.990419E-02   0.219228E+06   0.219205E+06   0.195531E-01
   0.392752E+00   0.408466E+06   0.406482E+06  -0.632822E-01  -0.645323E-01   0.411210E+04   0.406334E+06   0.408155E+06   0.406334E+06  -0.970688E-02   0.214861E+06   0.214838E+06   0.188334E-01
   0.398141E+00   0.400236E+06   0.398292E+06  -0.603402E-01  -0.615322E-01   0.393396E+04   0.398145E+06   0.399930E+06   0.398145E+06  -0.951127E-02   0.210531E+06   0.210509E+06   0.182128E-01
   0.403529E+00   0.392094E+06   0.390182E+06  -0.575447E-01  -0.586815E-01   0.376386E+04   0.390045E+06   0.391794E+06   0.390045E+06  -0.931776E-02   0.206248E+06   0.206226E+06   0.176718E-01
   0.408918E+00   0.384091E+06   0.382206E+06  -0.548943E-01  -0.559787E-01   0.360185E+04   0.382082E+06   0.383795E+06   0.382082E+06  -0.912753E-02   0.202037E+06   0.202016E+06   0.171824E-01
   0.414307E+00   0.376287E+06   0.374426E+06  -0.523890E-01  -0.534239E-01   0.344804E+04   0.374316E+06   0.375995E+06   0.374316E+06  -0.894201E-02   0.197931E+06   0.197910E+06   0.167159E-01
   0.419696E+00   0.368740E+06   0.366905E+06  -0.500284E-01  -0.510167E-01   0.330257E+04   0.366806E+06   0.368452E+06   0.366806E+06  -0.876261E-02   0.193960E+06   0.193939E+06   0.162494E-01
   0.425084E+00   0.361499E+06   0.359693E+06  -0.478105E-01  -0.487549E-01   0.316539E+04   0.359602E+06   0.361215E+06   0.359602E+06  -0.859050E-02   0.190150E+06   0.190130E+06   0.157703E-01
   0.430473E+00   0.354588E+06   0.352815E+06  -0.457298E-01  -0.466332E-01   0.303629E+04   0.352726E+06   0.354310E+06   0.352726E+06  -0.842626E-02   0.186515E+06   0.186495E+06   0.152765E-01
   0.435862E+00   0.347993E+06   0.346257E+06  -0.437766E-01  -0.446414E-01   0.291472E+04   0.346166E+06   0.347720E+06   0.346166E+06  -0.826954E-02   0.183046E+06   0.183027E+06   0.147747E-01
   0.441251E+00   0.341667E+06   0.339969E+06  -0.419377E-01  -0.427662E-01   0.279988E+04   0.339874E+06   0.341400E+06   0.339874E+06  -0.811924E-02   0.179719E+06   0.179700E+06   0.142769E-01
   0.446639E+00   0.335557E+06   0.333897E+06  -0.402001E-01  -0.409942E-01   0.269102E+04   0.333797E+06   0.335296E+06   0.333797E+06  -0.797405E-02   0.176506E+06   0.176487E+06   0.137964E-01
   0.452028E+00   0.329618E+06   0.327995E+06  -0.385530E-01  -0.393146E-01   0.258746E+04   0.327890E+06   0.329363E+06   0.327890E+06  -0.783295E-02   0.173382E+06   0.173364E+06   0.133442E-01
   0.457417E+00   0.323817E+06   0.322227E+06  -0.369876E-01  -0.377182E-01   0.248869E+04   0.322120E+06   0.323567E+06   0.322120E+06  -0.769511E-02   0.170331E+06   0.170314E+06   0.129269E-01
   0.462805E+00   0.318123E+06   0.316563E+06  -0.354961E-01  -0.361973E-01   0.239426E+04   0.316456E+06   0.317878E+06   0.316456E+06  -0.755981E-02   0.167337E+06   0.167319E+06   0.125451E-01
   0.468194E+00   0.312521E+06   0.310987E+06  -0.340730E-01  -0.347461E-01   0.230383E+04   0.310883E+06   0.312280E+06   0.310883E+06  -0.742667E-02   0.164390E+06   0.164372E+06   0.121946E-01
   0.473583E+00   0.307019E+06   0.305508E+06  -0.327158E-01  -0.333620E-01   0.221730E+04   0.305409E+06   0.306782E+06   0.305409E+06  -0.729590E-02   0.161495E+06   0.161478E+06   0.118683E-01
   0.478972E+00   0.301643E+06   0.300154E+06  -0.314237E-01  -0.320445E-01   0.213466E+04   0.300060E+06   0.301409E+06   0.300060E+06  -0.716812E-02   0.158667E+06   0.158650E+06   0.115581E-01
   0.484360E+00   0.296415E+06   0.294948E+06  -0.301959E-01  -0.307924E-01   0.205589E+04   0.294859E+06   0.296185E+06   0.294859E+06  -0.704387E-02   0.155917E+06   0.155900E+06   0.112566E-01
   0.489749E+00   0.291347E+06   0.289902E+06  -0.290301E-01  -0.296035E-01   0.198089E+04   0.289817E+06   0.291120E+06   0.289817E+06  -0.692341E-02   0.153250E+06   0.153234E+06   0.109586E-01
   0.495138E+00   0.286440E+06   0.285018E+06  -0.279233E-01  -0.284749E-01   0.190950E+04   0.284935E+06   0.286216E+06   0.284935E+06  -0.680679E-02   0.150669E+06   0.150653E+06   0.106620E-01
   0.500527E+00   0.281693E+06   0.280295E+06  -0.268726E-01  -0.274034E-01   0.184154E+04   0.280213E+06   0.281474E+06   0.280213E+06  -0.669400E-02   0.148172E+06   0.148157E+06   0.103674E-01
   0.505915E+00   0.277101E+06   0.275728E+06  -0.258745E-01  -0.263856E-01   0.177682E+04   0.275646E+06   0.276886E+06   0.275646E+06  -0.658489E-02   0.145757E+06   0.145742E+06   0.100773E-01
   0.511304E+00   0.272650E+06   0.271302E+06  -0.249252E-01  -0.254175E-01   0.171510E+04   0.271218E+06   0.272438E+06   0.271218E+06  -0.647911E-02   0.143416E+06   0.143401E+06   0.979516E-02
   0.516693E+00   0.268317E+06   0.266993E+06  -0.240202E-01  -0.244947E-01   0.165611E+04   0.266908E+06   0.268109E+06   0.266908E+06  -0.637616E-02   0.141137E+06   0.141122E+06   0.952417E-02
   0.522081E+00   0.264084E+06   0.262782E+06  -0.231558E-01  -0.236132E-01   0.159962E+04   0.262697E+06   0.263879E+06   0.262697E+06  -0.627556E-02   0.138910E+06   0.138896E+06   0.926646E-02
   0.527470E+00   0.259938E+06   0.258657E+06  -0.223290E-01  -0.227700E-01   0.154545E+04   0.258573E+06   0.259737E+06   0.258573E+06  -0.617703E-02   0.136729E+06   0.136715E+06   0.902285E-02
   0.532859E+00   0.255876E+06   0.254616E+06  -0.215378E-01  -0.219633E-01   0.149347E+04   0.254533E+06   0.255678E+06   0.254533E+06  -0.608052E-02   0.134593E+06   0.134579E+06   0.879278E-02
   0.538248E+00   0.251900E+06   0.250658E+06  -0.207807E-01  -0.211912E-01   0.144361E+04   0.250577E+06   0.251705E+06   0.250577E+06  -0.598601E-02   0.132501E+06   0.132487E+06   0.857452E-02
   0.543636E+00   0.248007E+06   0.246784E+06  -0.200560E-01  -0.204522E-01   0.139576E+04   0.246705E+06   0.247815E+06   0.246705E+06  -0.589351E-02   0.130454E+06   0.130440E+06   0.836570E-02
   0.549025E+00   0.244202E+06   0.242995E+06  -0.193625E-01  -0.197450E-01   0.134986E+04   0.242918E+06   0.244012E+06   0.242918E+06  -0.580307E-02   0.128452E+06   0.128438E+06   0.816396E-02
   0.554414E+00   0.240488E+06   0.239299E+06  -0.186992E-01  -0.190686E-01   0.130587E+04   0.239224E+06   0.240301E+06   0.239224E+06  -0.571481E-02   0.126498E+06   0.126485E+06   0.796745E-02
   0.559803E+00   0.236872E+06   0.235701E+06  -0.180653E-01  -0.184221E-01   0.126372E+04   0.235627E+06   0.236688E+06   0.235627E+06  -0.562889E-02   0.124596E+06   0.124583E+06   0.777507E-02
   0.565191E+00   0.233355E+06   0.232200E+06  -0.174592E-01  -0.178041E-01   0.122335E+04   0.232128E+06   0.233173E+06   0.232128E+06  -0.554529E-02   0.122746E+06   0.122733E+06   0.758647E-02
   0.570580E+00   0.229928E+06   0.228791E+06  -0.168795E-01  -0.172129E-01   0.118465E+04   0.228719E+06   0.229749E+06   0.228719E+06  -0.546386E-02   0.120943E+06   0.120931E+06   0.740188E-02
   0.575969E+00   0.226586E+06   0.225466E+06  -0.163244E-01  -0.166468E-01   0.114751E+04   0.225394E+06   0.226410E+06   0.225394E+06  -0.538443E-02   0.119185E+06   0.119173E+06   0.722199E-02
   0.581358E+00   0.223323E+06   0.222220E+06  -0.157924E-01  -0.161044E-01   0.111185E+04   0.222148E+06   0.223149E+06   0.222148E+06  -0.530689E-02   0.117469E+06   0.117457E+06   0.704761E-02
   0.586746E+00   0.220135E+06   0.219049E+06  -0.152824E-01  -0.155843E-01   0.107759E+04   0.218978E+06   0.219965E+06   0.218978E+06  -0.523115E-02   0.115793E+06   0.115780E+06   0.687947E-02
   0.592135E+00   0.217018E+06   0.215947E+06  -0.147931E-01  -0.150853E-01   0.104465E+04   0.215877E+06   0.216850E+06   0.215877E+06  -0.515707E-02   0.114153E+06   0.114141E+06   0.671789E-02
   0.597524E+00   0.213963E+06   0.212908E+06  -0.143230E-01  -0.146059E-01   0.101295E+04   0.212839E+06   0.213798E+06   0.212839E+06  -0.508449E-02   0.112546E+06   0.112534E+06   0.656277E-02
   0.602912E+00   0.210968E+06   0.209928E+06  -0.138712E-01  -0.141452E-01   0.982420E+03   0.209859E+06   0.210805E+06   0.209859E+06  -0.501332E-02   0.110971E+06   0.110959E+06   0.641369E-02
   0.608301E+00   0.208034E+06   0.207007E+06  -0.134370E-01  -0.137025E-01   0.953020E+03   0.206940E+06   0.207873E+06   0.206940E+06  -0.494358E-02   0.109427E+06   0.109416E+06   0.627004E-02
   0.613690E+00   0.205162E+06   0.204150E+06  -0.130199E-01  -0.132771E-01   0.924720E+03   0.204084E+06   0.205003E+06   0.204084E+06  -0.487534E-02   0.107917E+06   0.107905E+06   0.613114E-02
   0.619079E+00   0.202354E+06   0.201355E+06  -0.126191E-01  -0.128683E-01   0.897482E+03   0.201290E+06   0.202197E+06   0.201290E+06  -0.480860E-02   0.106439E+06   0.106428E+06   0.599630E-02
   0.624467E+00   0.199606E+06   0.198620E+06  -0.122338E-01  -0.124755E-01   0.871250E+03   0.198556E+06   0.199451E+06   0.198556E+06  -0.474329E-02   0.104994E+06   0.104983E+06   0.586498E-02
   0.629856E+00   0.196917E+06   0.195944E+06  -0.118634E-01  -0.120977E-01   0.845988E+03   0.195881E+06   0.196764E+06   0.195881E+06  -0.467939E-02   0.103579E+06   0.103569E+06   0.573686E-02
   0.681273E+00   0.173953E+06   0.173095E+06  -0.895786E-02  -0.913479E-02   0.646174E+03   0.173038E+06   0.173818E+06   0.173038E+06  -0.413369E-02   0.915002E+05   0.914907E+05   0.468118E-02
   0.736888E+00   0.153532E+06   0.152775E+06  -0.675797E-02  -0.689145E-02   0.492642E+03   0.152724E+06   0.153413E+06   0.152724E+06  -0.364842E-02   0.807587E+05   0.807503E+05   0.381856E-02
   0.797043E+00   0.135405E+06   0.134736E+06  -0.509441E-02  -0.519503E-02   0.374957E+03   0.134691E+06   0.135300E+06   0.134691E+06  -0.321764E-02   0.712234E+05   0.712159E+05   0.311285E-02
   0.862108E+00   0.119329E+06   0.118740E+06  -0.383750E-02  -0.391329E-02   0.284929E+03   0.118700E+06   0.119236E+06   0.118700E+06  -0.283562E-02   0.627673E+05   0.627608E+05   0.253554E-02
   0.932485E+00   0.105085E+06   0.104567E+06  -0.288860E-02  -0.294566E-02   0.216187E+03   0.104531E+06   0.105004E+06   0.104531E+06  -0.249714E-02   0.552752E+05   0.552694E+05   0.206376E-02
   0.100861E+01   0.924790E+05   0.920229E+05  -0.217286E-02  -0.221578E-02   0.163795E+03   0.919916E+05   0.924074E+05   0.919916E+05  -0.219758E-02   0.486443E+05   0.486392E+05   0.167860E-02
   0.109094E+01   0.813305E+05   0.809293E+05  -0.163337E-02  -0.166563E-02   0.123931E+03   0.809017E+05   0.812674E+05   0.809017E+05  -0.193266E-02   0.427801E+05   0.427756E+05   0.136438E-02
   0.118000E+01   0.714794E+05   0.711269E+05  -0.122703E-02  -0.125126E-02   0.936469E+02   0.711025E+05   0.714240E+05   0.711025E+05  -0.169856E-02   0.375984E+05   0.375945E+05   0.110823E-02
   0.127633E+01   0.627838E+05   0.624742E+05  -0.921217E-03  -0.939412E-03   0.706789E+02   0.624527E+05   0.627351E+05   0.624527E+05  -0.149193E-02   0.330245E+05   0.330210E+05   0.899609E-03
   0.138052E+01   0.551123E+05   0.548406E+05  -0.691202E-03  -0.704854E-03   0.532822E+02   0.548217E+05   0.550697E+05   0.548217E+05  -0.130963E-02   0.289892E+05   0.289862E+05   0.729786E-03
   0.149321E+01   0.483506E+05   0.481122E+05  -0.518321E-03  -0.528558E-03   0.401242E+02   0.480956E+05   0.483131E+05   0.480956E+05  -0.114895E-02   0.254325E+05   0.254299E+05   0.591657E-03
   0.161511E+01   0.423948E+05   0.421858E+05  -0.388464E-03  -0.396136E-03   0.301849E+02   0.421711E+05   0.423619E+05   0.421711E+05  -0.100742E-02   0.222998E+05   0.222974E+05   0.479379E-03
   0.174696E+01   0.371529E+05   0.369698E+05  -0.290986E-03  -0.296733E-03   0.226861E+02   0.369569E+05   0.371241E+05   0.369569E+05  -0.882861E-03   0.195425E+05   0.195405E+05   0.388177E-03
   0.188957E+01   0.325420E+05   0.323816E+05  -0.217853E-03  -0.222156E-03   0.170348E+02   0.323703E+05   0.325168E+05   0.323703E+05  -0.773292E-03   0.171172E+05   0.171154E+05   0.314137E-03
   0.201662E+01   0.291446E+05   0.290010E+05  -0.171299E-03  -0.174682E-03   0.134238E+02   0.289908E+05   0.291220E+05   0.289908E+05  -0.692561E-03   0.153301E+05   0.153285E+05   0.263453E-03
   0.252652E+01   0.198418E+05   0.197441E+05  -0.742994E-04  -0.757668E-04   0.585766E+01   0.197372E+05   0.198265E+05   0.197372E+05  -0.471500E-03   0.104369E+05   0.104358E+05   0.142772E-03
   0.316533E+01   0.134594E+05   0.133931E+05  -0.321097E-04  -0.327439E-04   0.254192E+01   0.133884E+05   0.134490E+05   0.133884E+05  -0.319835E-03   0.707969E+04   0.707896E+04   0.769816E-04
   0.396567E+01   0.909980E+04   0.905498E+04  -0.138308E-04  -0.141040E-04   0.109793E+01   0.905178E+04   0.909276E+04   0.905178E+04  -0.216237E-03   0.478651E+04   0.478602E+04   0.412767E-04
   0.496836E+01   0.613373E+04   0.610353E+04  -0.593944E-05  -0.605674E-05   0.472356E+00   0.610136E+04   0.612898E+04   0.610136E+04  -0.145755E-03   0.322635E+04   0.322603E+04   0.219854E-04
   0.622459E+01   0.412305E+04   0.410276E+04  -0.254358E-05  -0.259381E-05   0.202530E+00   0.410129E+04   0.411986E+04   0.410129E+04  -0.979756E-04   0.216873E+04   0.216852E+04   0.116099E-04
   0.779844E+01   0.276447E+04   0.275088E+04  -0.108653E-05  -0.110799E-05   0.865817E-01   0.274989E+04   0.276234E+04   0.274989E+04  -0.656919E-04   0.145412E+04   0.145398E+04   0.605771E-05
