#    L    TT             EE             BB             TE             PP             TP             EP          
    92   0.245361E+04   0.651788E+00   0.000000E+00  -0.179328E+02   0.106703E-06   0.403474E-03  -0.117611E-05
    93   0.248307E+04   0.667273E+00   0.000000E+00  -0.185736E+02   0.106051E-06   0.398418E-03  -0.118908E-05
    94   0.251275E+04   0.682716E+00   0.000000E+00  -0.192189E+02   0.105401E-06   0.393483E-03  -0.119526E-05
    95   0.254266E+04   0.698102E+00   0.000000E+00  -0.198679E+02   0.104755E-06   0.388663E-03  -0.119530E-05
    96   0.257279E+04   0.713417E+00   0.000000E+00  -0.205203E+02   0.104112E-06   0.383954E-03  -0.118989E-05
    97   0.260315E+04   0.728647E+00   0.000000E+00  -0.211757E+02   0.103473E-06   0.379352E-03  -0.117970E-05
    98   0.263374E+04   0.743775E+00   0.000000E+00  -0.218336E+02   0.102836E-06   0.374853E-03  -0.116539E-05
    99   0.266453E+04   0.758789E+00   0.000000E+00  -0.224935E+02   0.102203E-06   0.370451E-03  -0.114765E-05
   100   0.269556E+04   0.773676E+00   0.000000E+00  -0.231550E+02   0.101574E-06   0.366143E-03  -0.112713E-05
   101   0.272680E+04   0.788422E+00   0.000000E+00  -0.238174E+02   0.100948E-06   0.361925E-03  -0.110452E-05
   102   0.275825E+04   0.803005E+00   0.000000E+00  -0.244804E+02   0.100325E-06   0.357791E-03  -0.108048E-05
   103   0.278991E+04   0.817425E+00   0.000000E+00  -0.251434E+02   0.997065E-07   0.353738E-03  -0.105567E-05
   104   0.282178E+04   0.831652E+00   0.000000E+00  -0.258059E+02   0.990913E-07   0.349761E-03  -0.103078E-05
   105   0.285384E+04   0.845679E+00   0.000000E+00  -0.264674E+02   0.984798E-07   0.345857E-03  -0.100646E-05
   106   0.288609E+04   0.859492E+00   0.000000E+00  -0.271271E+02   0.978721E-07   0.342019E-03  -0.983395E-06
   107   0.291852E+04   0.873083E+00   0.000000E+00  -0.277846E+02   0.972682E-07   0.338245E-03  -0.962239E-06
   108   0.295112E+04   0.886430E+00   0.000000E+00  -0.284395E+02   0.966682E-07   0.334531E-03  -0.943667E-06
   109   0.298389E+04   0.899527E+00   0.000000E+00  -0.290909E+02   0.960722E-07   0.330870E-03  -0.928344E-06
   110   0.301683E+04   0.912350E+00   0.000000E+00  -0.297384E+02   0.954803E-07   0.327261E-03  -0.916938E-06
   111   0.304992E+04   0.924893E+00   0.000000E+00  -0.303816E+02   0.948924E-07   0.323697E-03  -0.909946E-06
   112   0.308316E+04   0.937149E+00   0.000000E+00  -0.310197E+02   0.943086E-07   0.320181E-03  -0.907192E-06
   113   0.311655E+04   0.949094E+00   0.000000E+00  -0.316523E+02   0.937289E-07   0.316710E-03  -0.908328E-06
   114   0.315008E+04   0.960713E+00   0.000000E+00  -0.322788E+02   0.931533E-07   0.313287E-03  -0.913007E-06
   115   0.318373E+04   0.972007E+00   0.000000E+00  -0.328985E+02   0.925818E-07   0.309910E-03  -0.920884E-06
   116   0.321751E+04   0.982960E+00   0.000000E+00  -0.335110E+02   0.920144E-07   0.306580E-03  -0.931612E-06
   117   0.325142E+04   0.993550E+00   0.000000E+00  -0.341157E+02   0.914511E-07   0.303297E-03  -0.944846E-06
   118   0.328542E+04   0.100378E+01   0.000000E+00  -0.347119E+02   0.908918E-07   0.300061E-03  -0.960239E-06
   119   0.331954E+04   0.101362E+01   0.000000E+00  -0.352992E+02   0.903366E-07   0.296873E-03  -0.977446E-06
   120   0.335374E+04   0.102309E+01   0.000000E+00  -0.358770E+02   0.897854E-07   0.293732E-03  -0.996122E-06
   121   0.338804E+04   0.103215E+01   0.000000E+00  -0.364447E+02   0.892384E-07   0.290639E-03  -0.101592E-05
   122   0.342240E+04   0.104080E+01   0.000000E+00  -0.370018E+02   0.886954E-07   0.287595E-03  -0.103650E-05
   123   0.345684E+04   0.104904E+01   0.000000E+00  -0.375477E+02   0.881565E-07   0.284598E-03  -0.105751E-05
   124   0.349134E+04   0.105684E+01   0.000000E+00  -0.380819E+02   0.876216E-07   0.281650E-03  -0.107861E-05
   125   0.352589E+04   0.106421E+01   0.000000E+00  -0.386038E+02   0.870908E-07   0.278751E-03  -0.109945E-05
   126   0.356049E+04   0.107114E+01   0.000000E+00  -0.391129E+02   0.865641E-07   0.275900E-03  -0.111970E-05
   127   0.359512E+04   0.107762E+01   0.000000E+00  -0.396086E+02   0.860415E-07   0.273099E-03  -0.113900E-05
   128   0.362977E+04   0.108363E+01   0.000000E+00  -0.400906E+02   0.855229E-07   0.270346E-03  -0.115701E-05
   129   0.366445E+04   0.108919E+01   0.000000E+00  -0.405581E+02   0.850084E-07   0.267643E-03  -0.117338E-05
   130   0.369913E+04   0.109426E+01   0.000000E+00  -0.410107E+02   0.844980E-07   0.264989E-03  -0.118778E-05
   131   0.373381E+04   0.109886E+01   0.000000E+00  -0.414478E+02   0.839916E-07   0.262385E-03  -0.119993E-05
   132   0.376848E+04   0.110299E+01   0.000000E+00  -0.418690E+02   0.834893E-07   0.259829E-03  -0.120986E-05
   133   0.380314E+04   0.110662E+01   0.000000E+00  -0.422738E+02   0.829910E-07   0.257320E-03  -0.121767E-05
   134   0.383777E+04   0.110977E+01   0.000000E+00  -0.426617E+02   0.824967E-07   0.254856E-03  -0.122345E-05
   135   0.387237E+04   0.111242E+01   0.000000E+00  -0.430323E+02   0.820064E-07   0.252435E-03  -0.122731E-05
   136   0.390693E+04   0.111459E+01   0.000000E+00  -0.433850E+02   0.815200E-07   0.250057E-03  -0.122934E-05
   137   0.394145E+04   0.111625E+01   0.000000E+00  -0.437194E+02   0.810375E-07   0.247720E-03  -0.122965E-05
   138   0.397591E+04   0.111742E+01   0.000000E+00  -0.440351E+02   0.805588E-07   0.245422E-03  -0.122833E-05
   139   0.401030E+04   0.111810E+01   0.000000E+00  -0.443316E+02   0.800840E-07   0.243161E-03  -0.122548E-05
   140   0.404463E+04   0.111827E+01   0.000000E+00  -0.446086E+02   0.796131E-07   0.240937E-03  -0.122120E-05
   141   0.407888E+04   0.111797E+01   0.000000E+00  -0.448657E+02   0.791459E-07   0.238747E-03  -0.121559E-05
   142   0.411304E+04   0.111716E+01   0.000000E+00  -0.451023E+02   0.786825E-07   0.236590E-03  -0.120875E-05
   143   0.414711E+04   0.111586E+01   0.000000E+00  -0.453182E+02   0.782228E-07   0.234465E-03  -0.120078E-05
   144   0.418107E+04   0.111409E+01   0.000000E+00  -0.455129E+02   0.777668E-07   0.232371E-03  -0.119177E-05
