#    L    TT             EE             BB             TE          
   355   0.238100E+04   0.186786E+02   0.381442E-01   0.825134E+02
   356   0.235756E+04   0.188151E+02   0.382662E-01   0.809612E+02
   357   0.233451E+04   0.189490E+02   0.383882E-01   0.793858E+02
   358   0.231185E+04   0.190802E+02   0.385101E-01   0.777878E+02
   359   0.228960E+04   0.192087E+02   0.386319E-01   0.761674E+02
   360   0.226774E+04   0.193343E+02   0.387537E-01   0.745259E+02
   361   0.224629E+04   0.194570E+02   0.388755E-01   0.728624E+02
   362   0.222525E+04   0.195768E+02   0.389974E-01   0.711787E+02
   363   0.220462E+04   0.196936E+02   0.391192E-01   0.694753E+02
   364   0.218440E+04   0.198073E+02   0.392412E-01   0.677530E+02
   365   0.216460E+04   0.199180E+02   0.393632E-01   0.660126E+02
   366   0.214523E+04   0.200254E+02   0.394853E-01   0.642549E+02
   367   0.212628E+04   0.201297E+02   0.396075E-01   0.624805E+02
   368   0.210776E+04   0.202307E+02   0.397299E-01   0.606903E+02
   369   0.208966E+04   0.203285E+02   0.398524E-01   0.588852E+02
   370   0.207201E+04   0.204229E+02   0.399751E-01   0.570656E+02
   371   0.205478E+04   0.205140E+02   0.400980E-01   0.552327E+02
   372   0.203799E+04   0.206016E+02   0.402212E-01   0.533869E+02
   373   0.202164E+04   0.206858E+02   0.403446E-01   0.515291E+02
   374   0.200572E+04   0.207666E+02   0.404683E-01   0.496601E+02
   375   0.199024E+04   0.208438E+02   0.405922E-01   0.477806E+02
   376   0.197521E+04   0.209174E+02   0.407165E-01   0.458913E+02
   377   0.196061E+04   0.209875E+02   0.408411E-01   0.439930E+02
   378   0.194646E+04   0.210538E+02   0.409660E-01   0.420864E+02
   379   0.193275E+04   0.211164E+02   0.410913E-01   0.401723E+02
   380   0.191949E+04   0.211753E+02   0.412170E-01   0.382514E+02
   381   0.190666E+04   0.212304E+02   0.413431E-01   0.363245E+02
   382   0.189429E+04   0.212816E+02   0.414695E-01   0.343922E+02
   383   0.188236E+04   0.213290E+02   0.415965E-01   0.324555E+02
   384   0.187088E+04   0.213726E+02   0.417239E-01   0.305151E+02
   385   0.185983E+04   0.214122E+02   0.418517E-01   0.285720E+02
   386   0.184923E+04   0.214481E+02   0.419801E-01   0.266269E+02
   387   0.183908E+04   0.214800E+02   0.421089E-01   0.246806E+02
   388   0.182936E+04   0.215082E+02   0.422383E-01   0.227340E+02
   389   0.182008E+04   0.215325E+02   0.423683E-01   0.207880E+02
   390   0.181124E+04   0.215529E+02   0.424987E-01   0.188433E+02
   391   0.180284E+04   0.215694E+02   0.426298E-01   0.169007E+02
   392   0.179486E+04   0.215820E+02   0.427615E-01   0.149610E+02
   393   0.178733E+04   0.215907E+02   0.428937E-01   0.130250E+02
   394   0.178022E+04   0.215955E+02   0.430266E-01   0.110934E+02
